,id,book,chapter,verse,text,authentic
234,65001014,Jude,1,14,"And Enoch also, the seventh from Adam, prophesied of these, saying, Behold, the Lord cometh with ten thousands of his saints,",False
235,62003018,1 John,3,18,"My little children, let us not love in word, neither in tongue; but in deed and in truth.",False
236,61003011,2 Peter,3,11,"Seeing then that all these things shall be dissolved, what manner of persons ought ye to be in all holy conversation and godliness,",False
237,62004012,1 John,4,12,"No man hath seen God at any time. If we love one another, God dwelleth in us, and his love is perfected in us.",False
238,60002021,1 Peter,2,21,"For even hereunto were ye called: because Christ also suffered for us, leaving us an example, that ye should follow his steps:",False
239,62003008,1 John,3,8,"He that committeth sin is of the devil; for the devil sinneth from the beginning. For this purpose the Son of God was manifested, that he might destroy the works of the devil.",False
240,59005016,James,5,16,"Confess your faults one to another, and pray one for another, that ye may be healed. The effectual fervent prayer of a righteous man availeth much.",False
241,62005012,1 John,5,12,He that hath the Son hath life; and he that hath not the Son of God hath not life.,False
242,60002022,1 Peter,2,22,"Who did no sin, neither was guile found in his mouth:",False
243,62003005,1 John,3,5,And ye know that he was manifested to take away our sins; and in him is no sin.,False
244,60001013,1 Peter,1,13,"Wherefore gird up the loins of your mind, be sober, and hope to the end for the grace that is to be brought unto you at the revelation of Jesus Christ;",False
245,63001011,2 John,1,11,For he that biddeth him God speed is partaker of his evil deeds.,False
246,62001008,1 John,1,8,"If we say that we have no sin, we deceive ourselves, and the truth is not in us.",False
247,60002012,1 Peter,2,12,"Having your conversation honest among the Gentiles: that, whereas they speak against you as evildoers, they may by your good works, which they shall behold, glorify God in the day of visitation.",False
248,59001006,James,1,6,"But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.",False
249,59002018,James,2,18,"Yea, a man may say, Thou hast faith, and I have works: shew me thy faith without thy works, and I will shew thee my faith by my works.",False
