,356.,2018-02-25 02:22:55,48.81,98%,"If you really want to hear about it, the first thing you'll ...",No win (5 of 5)
238,117.0,2012-01-13 12:12:22,53.82,97%,"Ezekiel twenty-five, seventeen: The path of the righteous ma...",No win (1 of 1)
239,116.0,2012-01-13 12:10:45,60.32,99%,The truth of the matter is that there are a lot of available...,No win (3 of 5)
240,115.0,2012-01-13 12:09:10,52.14,95%,These contests provided ample opportunity to demonstrate the...,Win (1 of 5)
241,114.0,2012-01-13 12:07:50,57.78,99%,"Thing is Butch, right now you got ability. But painful as it...",No win (2 of 5)
242,113.0,2012-01-13 12:06:59,50.27,97%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",Win (1 of 5)
243,112.0,2012-01-13 12:04:08,61.39,96%,It's the possibility of having a dream come true that makes ...,Win (1 of 4)
244,111.0,2012-01-12 12:20:37,37.74,93%,To an outsider's ear it sounds absurdly wild and ridiculous ...,No win (2 of 2)
245,110.0,2012-01-12 12:17:35,38.13,93%,"We speak of something carried and something carrying, of som...",No win (2 of 2)
246,109.0,2012-01-12 12:14:22,37.93,96%,Facts can be thought of as objective or subjective. Things a...,Win (1 of 2)
247,108.0,2012-01-12 12:12:17,35.12,95%,The time has come for man to set himself a goal. The time ha...,No win (2 of 2)
248,107.0,2012-01-12 12:09:35,30.84,92%,"It is a period of civil war. Rebel spaceships, striking from...",No win (2 of 2)
249,106.0,2012-01-12 12:06:45,38.56,94%,"My darling, you have to be standing up in order to be able t...",Win (1 of 2)
250,105.0,2012-01-12 12:04:00,41.94,100%,"My dog barks some. Mentally you picture my dog, but I have n...",Win (1 of 2)
251,104.0,2012-01-12 11:58:41,42.87,92%,"The hectic speed, and the brevity of the lines in the thread...",Win (1 of 2)
252,103.0,2012-01-12 11:56:26,40.9,94%,Space is big. Really big. You just won't believe how vastly ...,Win (1 of 2)
253,102.0,2012-01-12 11:53:52,29.06,92%,"I'm so glad you came, I'm so glad you remembered, the walkin...",No win (2 of 2)
254,101.0,2012-01-12 11:48:03,40.87,95%,"There is no physical separation after the slicing, so that e...",Win (1 of 2)
255,100.0,2012-01-12 11:46:03,40.4,95%,I can already hear your tune calling me across the room. Whe...,No win (2 of 2)
256,99.0,2012-01-12 11:44:04,37.51,93%,Your inner child will be happy to know that when it comes to...,No win (2 of 2)
257,98.0,2012-01-12 11:41:52,40.98,94%,I must not fear. Fear is the mind killer. Fear is the little...,Win (1 of 2)
258,97.0,2012-01-12 11:39:56,41.49,96%,Supermarket aisles are the perfect place to practice your gl...,Win (1 of 2)
259,96.0,2012-01-12 11:36:58,44.9,97%,We all know people who are very bright but who do not always...,No win (2 of 2)
260,95.0,2012-01-12 11:35:14,46.87,97%,"When I was your age, television was called books. And this i...",Win (1 of 2)
261,94.0,2012-01-12 11:33:48,38.73,92%,"In most cases, there is more to be gained by maximizing the ...",No win (2 of 2)
262,93.0,2012-01-12 11:31:43,33.81,96%,"I believe in love, and I know that you do too. And I believe...",No win (2 of 2)
263,92.0,2012-01-12 11:24:59,41.79,92%,"Samatha is a state in which the mind is brought to rest, foc...",Win (1 of 2)
264,91.0,2012-01-12 11:23:10,39.02,100%,"My dog barks some. Mentally you picture my dog, but I have n...",Win (1 of 2)
265,90.0,2012-01-12 11:21:08,37.01,97%,"Thing is Butch, right now you got ability. But painful as it...",Win (1 of 2)
266,89.0,2012-01-12 11:18:05,52.49,97%,"Other keyboard layouts have been created since, and some are...",Win (1 of 2)
267,88.0,2012-01-12 11:16:38,46.46,96%,"I'll miss the sea, but a person needs new experiences. They ...",Win (1 of 2)
268,87.0,2012-01-12 11:10:43,46.79,98%,Now did you answer cause you thought that's what I wanted to...,No win (2 of 2)
269,86.0,2012-01-12 11:05:08,40.81,95%,"Whether they use the title or not, many lyrics have evocativ...",No win (2 of 2)
270,85.0,2012-01-12 11:03:19,32.89,96%,"Two households, both alike in dignity (in fair Verona, where...",No win (2 of 2)
271,84.0,2012-01-12 11:00:29,33.2,95%,"Imagine this: Here we are, a plane full of grown human being...",No win (2 of 2)
272,83.0,2012-01-12 10:57:17,50.78,97%,She's got eyes of the bluest skies as if they thought of rai...,Win (1 of 2)
273,82.0,2012-01-12 10:55:37,36.53,95%,"The Orient was almost a European invention, and had been sin...",No win (2 of 2)
274,81.0,2012-01-12 10:53:26,34.07,98%,So my heart goes out to them. Figuratively. I would never ac...,No win (2 of 2)
275,80.0,2012-01-12 10:51:28,55.61,99%,"I'll miss the sea, but a person needs new experiences. They ...",Win (1 of 2)
276,79.0,2012-01-12 10:48:23,57.66,96%,There's a piece of Maria in every song that I sing. And the ...,Win (1 of 2)
277,78.0,2012-01-12 10:45:53,48.4,94%,A chorus is the high-point of a lyric's energy as well as th...,Win (1 of 2)
278,77.0,2012-01-07 07:02:25,43.18,91%,I can practically see your face and another revolutionary fa...,No win (2 of 3)
279,76.0,2012-01-07 07:01:17,53.59,96%,The time has come for man to set himself a goal. The time ha...,No win (3 of 3)
280,75.0,2012-01-07 06:59:07,48.76,94%,Jay made up for the lack of glamour in his assignment by hav...,No win (2 of 4)
281,74.0,2012-01-07 06:57:25,50.3,95%,"This planet has, or rather had, a problem, which was this: m...",No win (2 of 3)
282,73.0,2012-01-07 06:55:37,54.02,97%,"Samatha is a state in which the mind is brought to rest, foc...",No win (3 of 5)
283,72.0,2012-01-07 06:54:25,46.39,98%,"Oh bliss! Bliss and heaven! Oh, it was gorgeousness and gorg...",No win (3 of 3)
284,71.0,2012-01-07 06:52:43,45.05,95%,He managed to open the cupboard door with his nose and found...,No win (2 of 4)
285,70.0,2012-01-07 06:51:15,51.7,97%,"The goal of the true seeker is to become a sage, or superior...",No win (2 of 4)
286,69.0,2012-01-07 06:49:34,50.81,96%,"As if that blind rage had washed me clean, rid me of hope; f...",Win (1 of 4)
287,68.0,2012-01-07 06:48:21,54.74,97%,"And in the world a heart of darkness, a firezone, where poet...",No win (2 of 3)
288,67.0,2012-01-07 06:45:39,56.98,99%,Do you know what they call a Quarter-pounder with cheese in ...,No win (2 of 3)
289,66.0,2012-01-07 06:38:23,52.7,96%,"The goal of the true seeker is to become a sage, or superior...",Win (1 of 5)
290,65.0,2012-01-07 06:36:06,51.91,94%,Your faith was strong but you needed proof. You saw her bath...,No win (4 of 5)
291,64.0,2012-01-06 06:50:55,48.2,95%,He had spent enormous amounts of time at the great libraries...,No win (2 of 2)
292,63.0,2012-01-06 06:48:33,55.86,97%,"An essential characteristic of the superhero mythology is, t...",Win (1 of 2)
293,62.0,2012-01-06 06:46:32,53.47,96%,"Every time you practice a technique incorrectly, you're incr...",Win (1 of 2)
294,61.0,2012-01-06 06:45:00,46.85,93%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,Win (1 of 2)
295,60.0,2012-01-06 06:42:48,54.55,97%,"I'm a hopeless dancer, but this looks like you just screw in...",Win (1 of 2)
296,59.0,2012-01-06 06:40:18,55.75,98%,"Now you might ask yourself, if by yourself you mean me, ""Ste...",Win (1 of 2)
297,58.0,2012-01-04 09:29:04,48.83,96%,From compositional considerations the tomato layer would be ...,No win (4 of 5)
298,57.0,2012-01-04 09:27:47,46.13,98%,"I'll miss the sea, but a person needs new experiences. They ...",No win (3 of 5)
299,56.0,2012-01-04 09:26:37,53.66,96%,"Life is not suffering; it's just that you will suffer it, ra...",No win (4 of 5)
300,55.0,2012-01-04 09:25:36,37.85,97%,I'm telling it like it is. Get used to it or put this book d...,No win (3 of 4)
301,54.0,2012-01-04 09:23:10,48.34,97%,"Well, it just so happens, this hacienda comes with its very ...",No win (4 of 5)
302,53.0,2012-01-04 09:21:36,42.53,96%,We were all in our late twenties or early-to-middle thirties...,No win (4 of 4)
303,52.0,2012-01-02 12:54:40,50.74,93%,"Dropping through sky, through the glass of the roof, through...",No win (3 of 3)
304,51.0,2012-01-02 12:53:22,52.8,96%,How many roads must a man walk down before you call him a ma...,No win (4 of 5)
305,50.0,2012-01-02 12:51:44,46.19,93%,"That fear had been inside him for many years, it had lived w...",No win (5 of 5)
306,49.0,2012-01-02 12:50:24,45.25,92%,"Yet one fine day, in a fit of euphoria, after he had picked ...",No win (2 of 2)
307,48.0,2012-01-02 12:48:40,46.46,92%,So it's all come back round to breaking apart again. Breakin...,No win (4 of 5)
308,47.0,2012-01-02 12:46:57,44.87,94%,Indonesia is a nation of islands - more than seventeen thous...,No win (2 of 4)
309,46.0,2012-01-02 12:43:05,54.28,94%,"When we pulled out into the winter night and the real snow, ...",No win (3 of 4)
310,45.0,2012-01-02 12:41:53,52.34,98%,"Today, you people are no longer maggots. Today, you are Mari...",No win (3 of 4)
311,44.0,2012-01-02 12:39:23,47.74,95%,"Everyone said I was daft to build a castle on a swamp, but I...",No win (2 of 2)
312,43.0,2012-01-02 12:37:36,45.87,93%,I still see things that are not here. I just choose not to a...,No win (2 of 4)
313,42.0,2012-01-02 12:33:35,53.3,95%,"My friend, I shall be pedagogic, and say you ought to start ...",No win (2 of 3)
314,41.0,2012-01-02 12:32:11,54.58,98%,I drew the blankets over my head and tried to think of Chris...,No win (3 of 4)
315,40.0,2012-01-02 12:30:10,55.96,98%,"Whether they use the title or not, many lyrics have evocativ...",No win (2 of 3)
316,39.0,2012-01-02 12:26:36,54.1,94%,Let's face it: there are tons of things in your home and lif...,No win (3 of 4)
317,38.0,2012-01-02 12:25:06,50.42,96%,I drew the blankets over my head and tried to think of Chris...,No win (2 of 4)
318,37.0,2012-01-02 12:23:41,47.43,92%,The time has come for man to set himself a goal. The time ha...,No win (4 of 4)
319,36.0,2012-01-02 12:22:22,53.0,95%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 5)
320,35.0,2012-01-01 03:30:09,59.53,99%,"I was hugely impressed. Kirk, I mean Shatner, was the ultima...",Win (1 of 4)
321,34.0,2012-01-01 03:29:08,49.74,95%,I've always wondered about this coat business. When I'm in a...,No win (4 of 4)
322,33.0,2012-01-01 03:27:46,51.24,97%,"In 1966, Andy Dufresne escaped from Shawshank prison. All th...",No win (4 of 5)
323,32.0,2011-12-31 11:18:05,53.49,97%,I drew the blankets over my head and tried to think of Chris...,No win (3 of 3)
324,31.0,2011-12-31 11:16:39,50.27,95%,I'm telling it like it is. Get used to it or put this book d...,No win (2 of 4)
325,30.0,2011-12-31 11:14:15,62.95,97%,There's a piece of Maria in every song that I sing. And the ...,No win (2 of 4)
326,29.0,2011-12-31 11:13:10,52.04,95%,"I'm so glad you came, I'm so glad you remembered, the walkin...",Win (1 of 2)
327,28.0,2011-12-31 11:11:57,49.53,96%,Once you get into the processed foods you have to be a fairl...,No win (2 of 5)
328,27.0,2011-12-30 09:48:05,54.6,98%,"The terminator wouldn't stop, it would never leave him. It w...",No win (2 of 3)
329,26.0,2011-12-30 09:46:23,51.67,94%,Humans need to practice what they are learning a good deal b...,No win (2 of 5)
330,25.0,2011-12-30 09:45:15,40.46,92%,"Grits and fried chicken won't disappear, but perhaps future ...",No win (2 of 5)
331,24.0,2011-12-30 09:44:22,50.01,94%,"I believe in love, and I know that you do too. And I believe...",No win (5 of 5)
332,23.0,2011-12-30 09:41:34,53.35,97%,And I will strike down upon thee with great vengeance and fu...,No win (3 of 4)
333,22.0,2011-12-30 09:38:20,50.6,96%,"Radiation could be precisely determined, in principle, if we...",Win (1 of 3)
334,21.0,2011-12-30 09:37:15,52.5,97%,The pathology of setting a deadline to the earliest articula...,No win (3 of 5)
335,20.0,2011-12-30 09:35:25,43.1,92%,Who is Keyser Soze? He is supposed to be Turkish. Some say h...,No win (2 of 4)
336,19.0,2011-12-30 08:18:54,52.21,98%,"And though my journeys did take me to a great many states, a...",No win (3 of 5)
337,18.0,2011-12-30 08:16:56,57.88,100%,"Races are not won in the first corner; however, they are oft...",No win (2 of 4)
338,17.0,2011-12-30 08:14:25,42.73,92%,"During the battle, Rebel spies managed to steal secret plans...",No win (3 of 3)
339,16.0,2011-12-30 08:12:30,58.33,98%,"On a manual typewriter, strike the key with a nice sharp str...",Win (1 of 3)
340,15.0,2011-12-30 03:33:01,47.64,93%,"Run to the bedroom, in the suitcase on the left, you'll find...",Win (1 of 4)
341,14.0,2011-12-30 03:18:05,56.63,95%,"Ticking away the moments that make up a dull day, you fritte...",No win (3 of 3)
342,13.0,2011-12-30 03:16:03,51.44,94%,"An essential characteristic of the superhero mythology is, t...",No win (2 of 5)
343,12.0,2011-12-30 03:13:59,56.03,97%,"I had a job, I had a girl. I had something going, mister, in...",Win (1 of 4)
344,11.0,2011-12-30 03:12:26,58.6,95%,All the blue light reflections that color my mind when I sle...,Win (1 of 5)
345,10.0,2011-12-30 03:11:06,52.82,94%,Come sail your ships around me and burn your bridges down. W...,Win (1 of 5)
346,9.0,2010-07-01 10:59:08,48.41,100%,One thing I've learned in the last seven years: in every gam...,No win (2 of 4)
347,8.0,2010-06-29 05:18:05,35.96,100%,"If you don't get what you want, you suffer; if you get what ...",Win (1 of 2)
348,7.0,2010-06-29 04:39:03,53.54,100%,I am learning about twenty new Italian words a day. Where am...,Win (1 of 4)
349,6.0,2010-06-29 04:36:07,51.38,100%,Stab a sorry heart with your favorite finger. Paint the whol...,Win (1 of 4)
350,5.0,2010-06-29 04:34:23,40.64,100%,For it is not enough to have a good mind; the main thing is ...,Win (1 of 4)
351,4.0,2010-06-29 04:27:24,47.45,100%,The theory of music emphasizes the elements from which music...,Win (1 of 4)
352,3.0,2010-06-29 04:24:17,44.21,100%,"Webster defines intelligence as, ""the ability to apprehend i...",Win (1 of 5)
353,2.0,2010-06-29 04:21:40,43.3,100%,"That's Tommy. He tells people he was named after a gun, but ...",Win (1 of 5)
354,1.0,2010-06-29 04:19:34,53.17,100%,I will need my spectacles and a clear head. Today I broke my...,Win (1 of 2)
