,UNK,1
1809,saves,6
1810,fever,2
1811,wasted,3
1812,mid,6
1813,war,6
1814,fruit,2
1815,forcing,6
1816,storm,5
1817,insomniaprobs,4
1818,wouldnt,1
1819,cell,5
1820,cray,4
1821,tend,0
1822,necessary,2
1823,piece,5
1824,meh,5
1825,goodbye,1
1826,hook,5
1827,silly,0
1828,bar,2
1829,everybody,6
1830,downing,5
1831,drawer,2
1832,killer,0
1833,sooner,3
1834,protein,2
1835,town,6
1836,replaced,4
1837,praise,3
1838,shutting,1
1839,delirious,3
1840,frustrating,5
1841,hospital,5
1842,sober,3
1843,laughed,3
1844,glands,3
1845,lifesaver,1
1846,pops,5
1847,neighbors,1
1848,pms,2
1849,season,6
1850,pre,0
1851,blunt,2
1852,amen,3
1853,reminded,0
1854,blog,5
1855,kills,1
1856,highest,1
1857,thursday,5
1858,fav,5
1859,version,2
1860,occasionally,2
1861,arm,1
1862,rid,1
1863,boring,5
1864,smart,4
1865,appt,1
1866,released,3
1867,heating,5
1868,pretend,1
1869,internet,6
1870,city,6
1871,wanting,5
1872,tears,0
1873,surgery,0
1874,dragging,5
1875,gimme,3
1876,tight,0
1877,chewing,1
1878,adjust,5
1879,quicker,5
1880,via,0
1881,dosed,5
1882,ftw,2
1883,project,3
1884,kno,6
1885,line,0
1886,ativan,5
1887,napping,2
1888,race,5
1889,video,5
1890,doubling,1
1891,deficiency,0
1892,pressure,6
1893,lastnight,6
1894,pussy,4
1895,chew,4
1896,failing,6
1897,steal,0
1898,adding,2
1899,caps,2
1900,holding,1
1901,album,1
1902,bugs,1
1903,mentally,0
1904,exciting,0
1905,delayed,6
1906,poop,6
1907,building,5
1908,sensitive,6
1909,liked,1
1910,mucinex,2
1911,idc,3
1912,tryptophan,5
1913,ordered,2
1914,vampire,1
1915,bears,2
1916,sipping,4
1917,crushed,2
1918,page,6
1919,stat,2
1920,star,1
1921,active,6
1922,grade,6
1923,tiny,5
1924,lied,0
1925,faith,2
1926,group,6
1927,appreciate,1
1928,strawberry,4
1929,coat,5
1930,beginning,6
1931,midol,2
1932,meeting,0
1933,cider,6
1934,cured,5
1935,sadly,5
1936,comfortable,3
1937,success,6
1938,soft,5
1939,bug,1
1940,amazon,0
1941,boss,6
1942,expected,2
1943,antidepressants,3
1944,escape,0
1945,ruined,5
1946,iphone,5
1947,proud,5
1948,feed,6
1949,rtauthor,2
1950,reach,1
1951,teacher,5
1952,brick,6
1953,gnite,1
1954,somethin,2
1955,ipod,5
1956,workin,3
1957,crappy,0
1958,cried,2
1959,bitches,3
1960,incredibly,6
1961,yellow,3
1962,increasing,5
1963,naturel,5
1964,rly,1
1965,fair,1
1966,planned,0
1967,tuna,4
1968,hay,5
1969,current,4
1970,ground,3
1971,dreamland,5
1972,homeopathic,4
1973,somethings,0
1974,thinkin,5
1975,bong,6
1976,consider,4
1977,morn,4
1978,accept,6
1979,heads,0
1980,alert,0
1981,essay,1
1982,concerned,0
1983,casserole,3
1984,docs,0
1985,steel,4
1986,cranky,2
1987,surprisingly,6
1988,aware,0
1989,reasonable,1
1990,hooked,5
1991,peacefully,0
1992,spelled,2
1993,born,0
1994,zicam,2
1995,maximum,5
1996,interested,3
1997,antibiotics,2
1998,showered,0
1999,adrenaline,0
2000,flowers,1
2001,coworkers,1
2002,severe,6
2003,overnight,4
2004,adult,4
2005,desperately,5
2006,swallowing,0
2007,blend,4
2008,paranoid,1
2009,oversleep,5
2010,facebook,3
2011,espresso,4
2012,manage,1
2013,attention,1
2014,buddy,2
2015,tips,5
2016,personal,1
2017,drowsiness,6
2018,personally,1
2019,shame,3
2020,pandora,6
2021,depend,1
2022,suspect,1
2023,mac,0
2024,headphones,5
2025,lullaby,0
2026,across,2
2027,pad,4
2028,videos,6
2029,enjoying,5
2030,lolol,6
2031,tom,0
2032,reverse,2
2033,hated,0
2034,snap,6
2035,affects,3
2036,fed,6
2037,scariest,0
2038,extreme,3
2039,reached,4
2040,grabbed,2
2041,coworker,3
2042,explode,2
2043,liquor,2
2044,heat,5
2045,beers,2
2046,catching,0
2047,paying,0
2048,legal,4
2049,terrified,1
2050,quil,4
2051,woman,4
2052,fat,6
2053,breaking,5
2054,shouldnt,4
2055,wakeup,3
2056,finding,2
2057,eff,6
2058,longest,0
2059,wrote,4
2060,goddamn,6
2061,relying,5
2062,reasons,4
2063,cinnamon,2
2064,anybody,0
2065,dissolve,4
2066,covered,1
2067,available,2
2068,kinds,3
2069,hanging,6
2070,dorm,5
2071,screaming,5
2072,showed,5
2073,terrors,6
2074,wth,0
2075,country,5
2076,worker,5
2077,remembering,1
2078,fairly,1
2079,sleepp,5
2080,omfg,3
2081,average,5
2082,worries,6
2083,nothin,3
2084,secretion,3
2085,bubble,3
2086,regimen,6
2087,social,6
2088,weirder,1
2089,followed,2
2090,nighter,6
2091,nauseous,1
2092,suffering,3
2093,relaxes,1
2094,experiencing,4
2095,defeat,6
2096,sleepdeprived,6
2097,apologize,6
2098,upon,5
2099,increased,3
2100,yikes,1
2101,rocks,2
2102,musical,6
2103,sending,1
2104,honest,1
2105,improvement,3
2106,needless,1
2107,induce,0
2108,comatose,5
2109,throwing,6
2110,piss,1
2111,headed,6
2112,pounding,5
2113,step,2
2114,pulling,1
2115,crossing,2
2116,deprivation,5
2117,heading,4
2118,gravol,4
2119,sorta,4
2120,deck,6
2121,aide,6
2122,fave,5
2123,begins,5
2124,sudafed,4
2125,chug,2
2126,sunshine,1
2127,belly,3
2128,amazingly,4
2129,zzs,0
2130,growing,1
2131,killed,6
2132,correct,6
2133,funky,1
2134,paid,0
2135,mary,6
2136,seroquel,6
2137,awkward,1
2138,sweetdreams,0
2139,twenty,3
2140,common,4
2141,alternative,1
2142,per,2
2143,epic,5
2144,favourite,6
2145,prepared,3
2146,sing,0
2147,oils,6
2148,lame,0
2149,strip,2
2150,nobody,6
2151,asks,1
2152,hide,3
2153,ingested,2
2154,resist,6
2155,disturbing,0
2156,strangest,1
2157,apart,2
2158,sunlight,1
2159,setting,6
2160,scratchy,1
2161,releases,6
2162,urge,0
2163,changing,5
2164,roomie,0
2165,texts,6
2166,goal,0
2167,hotel,6
2168,states,1
2169,schleep,4
2170,lower,5
2171,edge,0
2172,iced,2
2173,tab,2
2174,abuse,2
2175,choose,1
2176,theraflu,5
2177,combat,6
2178,local,4
2179,genius,4
2180,opening,3
2181,rare,1
2182,secret,6
2183,cmon,4
2184,passionflower,2
2185,service,5
2186,chugging,0
2187,scream,1
2188,pocket,2
2189,lift,6
2190,hah,5
2191,cocaine,1
2192,sos,6
2193,tweeps,1
2194,dealer,5
2195,solved,0
2196,elephant,1
2197,conscious,0
2198,complaining,5
2199,knee,4
2200,lawd,5
2201,xmas,0
2202,vacation,0
2203,combined,5
2204,purse,0
2205,puppy,3
2206,appointment,6
2207,drifting,3
2208,enemy,0
2209,chase,5
2210,motrin,6
2211,link,3
2212,occasional,4
2213,nada,2
2214,truth,0
2215,bae,5
2216,poured,6
2217,wee,3
2218,places,5
2219,official,1
2220,fuuck,0
2221,regretting,3
2222,bday,1
2223,ineedsleep,0
2224,delicious,2
2225,target,3
2226,runs,6
2227,depends,4
2228,beating,1
2229,zone,1
2230,touch,4
2231,heaven,3
2232,cookies,2
2233,toys,1
2234,hurry,6
2235,calms,1
2236,starbucks,2
2237,grocery,3
2238,lives,4
2239,increases,3
2240,experienced,1
2241,grind,0
2242,draw,0
2243,withdrawal,5
2244,wack,0
2245,powerful,2
2246,key,6
2247,parts,3
2248,pumped,0
2249,lungs,0
2250,content,3
2251,ily,5
2252,wears,5
2253,picking,3
2254,daytime,5
2255,suggestion,2
2256,law,5
2257,finishing,0
2258,according,5
2259,distracted,0
2260,redbull,5
2261,reminding,4
2262,button,0
2263,dumbass,2
2264,mountain,2
2265,doubled,2
2266,phase,1
2267,lesson,0
2268,slipping,0
2269,rush,6
2270,latest,0
2271,tone,6
2272,slight,2
2273,shouldve,5
2274,snow,1
2275,shortly,4
2276,gift,0
2277,ptfo,6
2278,whew,0
2279,shifts,0
2280,everyones,6
2281,decisions,0
2282,relaxation,5
2283,court,0
2284,stash,2
2285,script,4
2286,cleaned,4
2287,bars,2
2288,essential,5
2289,refuses,4
2290,itll,5
2291,makin,5
2292,oding,0
2293,english,6
2294,sweat,4
2295,fit,3
2296,ups,1
2297,bleh,3
2298,wahh,0
2299,whoever,2
2300,exact,6
2301,loads,2
2302,prevent,2
2303,multivitamins,1
2304,training,6
2305,bite,4
2306,excellent,3
2307,keyboard,6
2308,dare,4
2309,neighbor,6
2310,burning,1
2311,someones,5
2312,company,1
2313,plant,3
2314,roots,2
2315,ruining,0
2316,stairs,1
2317,session,1
2318,chai,2
2319,melts,4
2320,magik,0
2321,illegal,0
2322,meth,6
2323,blows,1
2324,depressing,6
2325,skittles,4
2326,ball,5
2327,badass,5
2328,whack,0
2329,phones,1
2330,brb,3
2331,lab,6
2332,thee,4
2333,creates,5
2334,chased,2
2335,anatomy,0
2336,tha,6
2337,brothers,4
2338,dance,5
2339,turnt,3
2340,space,3
2341,size,5
2342,crashing,3
2343,concert,3
2344,embrace,0
2345,speed,1
2346,yuck,4
2347,foot,1
2348,insomniacprobs,3
2349,hype,5
2350,lool,3
2351,older,2
2352,exercising,3
2353,ache,5
2354,practically,0
2355,youtube,3
2356,flexeril,3
2357,cloud,0
2358,shaking,2
2359,perfectly,6
2360,luv,2
2361,duh,4
2362,todays,1
2363,mee,4
2364,homie,3
2365,vicious,5
2366,thankyou,2
2367,dawn,5
2368,decides,1
2369,loaded,2
2370,handed,1
2371,assume,4
2372,father,6
2373,disgusting,4
2374,dig,5
2375,dis,6
2376,useful,5
2377,sake,4
2378,visit,1
2379,insomniaproblems,1
2380,waited,6
2381,marijuana,5
2382,switching,0
2383,shop,1
2384,killers,6
2385,worrying,6
2386,cancel,6
2387,disappointed,4
2388,offered,5
2389,pay,2
2390,girlfriend,2
2391,chris,6
2392,drugging,5
2393,trippin,1
2394,washing,5
2395,biological,6
2396,table,0
2397,dew,0
2398,response,5
2399,dragon,5
2400,insurance,5
2401,build,4
2402,waitin,4
2403,cozy,4
2404,expensive,5
2405,constant,1
2406,reg,4
2407,cures,4
2408,practice,6
2409,sets,1
2410,vyvanse,6
2411,match,1
2412,introduced,2
2413,feeding,3
2414,mints,2
2415,destroyed,0
2416,curtains,4
2417,plenty,2
2418,improve,5
2419,beside,3
2420,dozing,0
2421,melting,4
2422,soundly,0
2423,contemplating,0
2424,peeps,4
2425,memory,4
2426,crashed,1
2427,terrifying,0
2428,ginseng,4
2429,jokes,2
2430,nightnight,5
2431,puke,1
2432,magical,0
2433,blow,2
2434,yah,6
2435,deserve,1
2436,ouch,0
2437,thankfully,1
2438,explains,5
2439,cookie,6
2440,pump,4
2441,stoned,1
2442,activity,5
2443,mommy,2
2444,consist,0
2445,crawling,0
2446,tommy,0
2447,forreal,0
2448,debate,2
2449,unlike,6
2450,nytol,1
2451,hop,2
2452,spinning,1
2453,tequila,2
2454,result,3
2455,yogurt,2
2456,ease,5
2457,hav,5
2458,restlessness,6
2459,stoked,2
2460,halls,2
2461,melt,0
2462,snack,2
2463,afford,0
2464,troubles,6
2465,ahaha,4
2466,stuffed,5
2467,illness,2
2468,woah,6
2469,wut,1
2470,lemsip,2
2471,cheers,5
2472,deff,4
2473,boxers,1
2474,ace,0
2475,peaceful,0
2476,dirty,1
2477,yogi,2
2478,tested,0
2479,insomniacproblems,1
2480,nasal,2
2481,preparing,0
2482,ama,3
2483,chat,5
2484,continues,1
2485,eve,6
2486,weekends,1
2487,scene,6
2488,fuckers,0
2489,lmaoo,0
2490,riding,1
2491,following,6
2492,stays,3
2493,stinky,1
2494,waay,6
2495,sack,5
2496,minus,6
2497,antidepressant,3
2498,deeply,6
2499,doped,2
2500,tough,5
2501,tht,6
2502,board,2
2503,clinical,5
2504,certainly,6
2505,brownie,5
2506,regardless,1
2507,caffeinated,4
2508,cap,2
2509,sandwich,2
2510,ring,6
2511,dissolving,2
2512,morphine,3
2513,pituitary,6
2514,learning,0
2515,heated,0
2516,stare,2
2517,emotions,5
2518,american,3
2519,expecting,5
2520,trapped,1
2521,giggles,4
2522,flights,3
2523,pretending,1
2524,unconscious,1
2525,mega,4
2526,uses,3
2527,guaranteed,0
2528,cherries,4
2529,block,5
2530,nonsense,1
2531,daylight,1
2532,wave,1
2533,queen,3
2534,products,4
2535,hiding,0
2536,measure,1
2537,special,1
2538,drowning,6
2539,bee,2
2540,prayers,4
2541,horribly,4
2542,bucks,6
2543,sissy,3
2544,whos,4
2545,wreck,6
2546,credit,3
2547,downside,6
2548,niece,3
2549,hunger,1
2550,meditate,4
2551,trigger,6
2552,ugly,1
2553,grown,6
2554,zombies,1
2555,hypothalamus,3
2556,suicide,0
2557,join,0
2558,dealing,4
2559,massage,6
2560,ooh,1
2561,effort,6
2562,fly,5
2563,avoiding,4
2564,pure,0
2565,swore,4
2566,jail,1
2567,tonic,1
2568,tucked,2
2569,srsly,1
2570,canada,1
2571,goto,2
2572,tiredness,6
2573,blankets,6
2574,inject,1
2575,imagination,0
2576,lifetime,6
2577,film,1
2578,airport,4
2579,misery,2
2580,baths,4
2581,walls,5
2582,complain,2
2583,mmm,4
2584,steroids,5
2585,paint,6
2586,ungodly,2
2587,fading,3
2588,dancing,3
2589,eggs,4
2590,express,0
2591,concoction,2
2592,reals,3
2593,zoloft,6
2594,pet,2
2595,subconscious,1
2596,beans,0
2597,outt,3
2598,allnighter,1
2599,lines,2
2600,south,5
2601,disease,0
2602,progress,3
2603,instant,3
2604,promotes,5
2605,assuming,3
2606,socks,2
2607,dresser,4
2608,poorly,1
2609,street,4
2610,guarantee,5
2611,london,3
2612,gods,5
2613,wedding,1
2614,rhythms,6
2615,complex,1
2616,sneezing,6
2617,heal,6
2618,knees,2
2619,irritated,1
2620,reply,3
2621,shove,5
2622,crisis,5
2623,prep,0
2624,ensure,1
2625,hun,6
2626,duty,1
2627,reminder,3
2628,halfway,6
2629,moon,1
2630,vanilla,4
2631,overload,2
2632,flat,0
2633,mission,6
2634,fancy,4
2635,king,1
2636,yeahh,4
2637,medicines,5
2638,various,1
2639,sold,0
2640,arrived,0
2641,melatonininduced,0
2642,raw,2
2643,choices,0
2644,cross,3
2645,realised,6
2646,happiness,2
2647,searching,6
2648,scares,3
2649,spilled,2
2650,horrific,6
2651,bacon,2
2652,hero,5
2653,natures,2
2654,types,4
2655,wink,3
2656,message,6
2657,crawl,0
2658,tree,1
2659,morrow,4
2660,rich,4
2661,lookin,4
2662,tops,4
2663,dramamine,4
2664,previous,4
2665,bottom,1
2666,creative,6
2667,wrap,4
2668,push,1
2669,spot,0
2670,gatorade,3
2671,quarter,1
2672,uninterrupted,6
2673,ohwell,4
2674,wayy,5
2675,jittery,4
2676,psychiatrist,4
2677,affecting,0
2678,mann,4
2679,stream,2
2680,situation,5
2681,cannabis,5
2682,meal,3
2683,secreted,5
2684,secretes,3
2685,rage,1
2686,foggy,6
2687,smile,5
2688,antibiotic,3
2689,prior,4
2690,action,1
2691,bummer,3
2692,skipped,0
2693,psychology,5
2694,gold,4
2695,vitaminc,2
2696,coincidence,0
2697,races,0
2698,lozenges,0
2699,australia,3
2700,influence,3
2701,awoke,4
2702,chillin,4
2703,vinegar,2
2704,involved,6
2705,challenge,3
2706,lock,4
2707,destroying,5
2708,surely,4
2709,scare,4
2710,gentle,4
2711,thanksgiving,3
2712,jaw,2
2713,email,1
2714,ends,6
2715,insanely,1
2716,bananas,4
2717,passion,5
2718,seeds,2
2719,errands,4
2720,tossed,6
2721,sosleepy,1
2722,neat,1
2723,forte,2
2724,created,0
2725,powers,1
2726,shiit,1
2727,coz,3
2728,comfortably,0
2729,arent,1
2730,evil,6
2731,thankgod,0
2732,trial,2
2733,sincerely,1
2734,jam,2
2735,product,2
2736,entirely,5
2737,card,3
2738,closest,5
2739,charger,6
2740,twelve,0
2741,backup,5
2742,rolling,5
2743,youu,4
2744,prepare,4
2745,babysitting,0
2746,costco,6
2747,horror,1
2748,investing,2
2749,insomniacs,1
2750,safety,2
2751,asd,6
2752,terribly,5
2753,grogginess,0
2754,pictures,3
2755,brilliant,6
2756,resorted,3
2757,sweating,3
2758,miracles,3
2759,info,0
2760,sedative,4
2761,nausea,1
2762,popper,0
2763,meanwhile,2
2764,spelling,4
2765,bloodstream,6
2766,mentioned,6
2767,neurosleep,3
2768,brownies,2
2769,chemicals,1
2770,ben,3
2771,joint,4
2772,correctly,1
2773,inhale,5
2774,quiz,0
2775,releasing,6
2776,wks,5
2777,shes,1
2778,liking,5
2779,nightfood,1
2780,pointless,2
2781,cells,0
2782,ingredients,0
2783,hibernate,5
2784,mel,6
2785,inhaler,0
2786,roof,6
2787,laughs,2
2788,aaand,1
2789,hibernation,0
2790,surprise,0
2791,sluggish,6
2792,scotch,3
2793,testing,3
2794,sorts,4
2795,lethargic,6
2796,character,6
2797,lorazepam,4
2798,makeup,2
2799,lsd,1
2800,shoes,5
2801,smoothie,2
2802,beach,6
2803,speaking,1
2804,performance,5
2805,dick,1
2806,trader,3
2807,appropriate,3
2808,pal,3
2809,bang,1
2810,solve,1
2811,pissing,0
2812,bank,5
2813,road,2
2814,mark,4
2815,fingerscrossed,1
2816,search,1
2817,comfort,3
2818,inception,0
2819,spiked,3
2820,visiting,6
2821,dietary,2
2822,gay,4
2823,nyquill,2
2824,source,1
2825,bio,1
2826,hahahah,4
2827,joes,5
2828,scandal,0
2829,closing,2
2830,snacks,2
2831,bothered,6
2832,united,1
2833,syndrome,1
2834,chasing,2
2835,backwards,0
2836,fixes,4
2837,attempting,5
2838,recommending,2
2839,snuggle,5
2840,baked,3
2841,lololol,1
2842,woozy,3
2843,spike,2
2844,bouts,0
2845,onto,1
2846,sarcasm,3
2847,relatively,6
2848,sedatives,4
2849,cnt,6
2850,football,5
2851,charge,5
2852,painkillers,2
2853,dissolvable,5
2854,depending,6
2855,sunrise,2
2856,intended,5
2857,yum,2
2858,aromatherapy,6
2859,fought,0
2860,hug,2
2861,maletonin,4
2862,uncle,0
2863,favor,0
2864,review,1
2865,careful,3
2866,relaxant,1
2867,inability,5
2868,paralysis,1
2869,promote,5
2870,wifi,1
2871,chinese,3
2872,functioning,4
2873,screens,2
2874,flip,4
2875,adventure,5
2876,mattress,5
2877,jetlagged,4
2878,excessive,4
2879,regulated,5
2880,thirty,4
2881,shirt,2
2882,itchy,5
2883,apnea,5
2884,refused,1
2885,loove,4
2886,fried,3
2887,resistance,3
2888,include,4
2889,sinuses,0
2890,infection,5
2891,proof,0
2892,sir,0
2893,sip,2
2894,candles,2
2895,blaming,6
2896,dope,1
2897,trynna,6
2898,joy,1
2899,incredible,1
2900,tumblr,1
2901,raining,5
2902,fuq,0
2903,thunder,0
2904,overslept,2
2905,example,6
2906,absolute,4
2907,hoo,4
2908,thrones,5
2909,bowls,4
2910,oooh,2
2911,robitussin,2
2912,resetting,6
2913,bitter,2
2914,doors,5
2915,wikipedia,4
2916,smelled,4
2917,givin,1
2918,sleepi,3
2919,haa,0
2920,hat,0
2921,guilty,6
2922,devices,0
2923,intend,3
2924,stealing,3
2925,chair,5
2926,jerk,3
2927,wherever,1
2928,nonaddictive,5
2929,thanking,6
2930,limbs,1
2931,twitching,0
2932,tasted,0
2933,cortisol,6
2934,twin,0
2935,straighten,5
2936,antihistamine,0
2937,starving,1
2938,tart,1
2939,substance,0
2940,pics,1
2941,tramadol,0
2942,sucked,3
2943,status,6
2944,police,0
2945,blues,5
2946,virus,3
2947,cover,4
2948,sea,6
2949,rite,1
2950,hydrocodone,6
2951,kombucha,1
2952,posted,0
2953,faded,2
2954,raging,6
2955,niquil,2
2956,dislike,6
2957,consistently,3
2958,animal,4
2959,degrees,4
2960,decaf,6
2961,autistic,4
2962,hilarious,6
2963,craving,0
2964,stars,0
2965,ltheanine,6
2966,guessing,0
2967,packet,2
2968,preworkout,5
2969,ultra,3
2970,nvm,5
2971,nurses,1
2972,suppress,3
2973,ghost,5
2974,rule,1
2975,negative,6
2976,stimulate,6
2977,band,4
2978,pjs,2
2979,supper,3
2980,porn,2
2981,seltzer,3
2982,involving,1
2983,toilet,6
2984,cow,0
2985,beloved,0
2986,attacked,1
2987,skipping,0
2988,nip,5
2989,spread,1
2990,purple,2
2991,dilemma,4
2992,float,5
2993,religiously,0
2994,vegas,0
2995,gut,6
2996,market,0
2997,wonderfully,1
2998,niggas,0
2999,sicklecell,1
3000,typical,0
3001,nod,2
3002,argh,0
3003,melly,3
3004,directly,0
3005,gotcha,4
3006,ltryptophan,2
3007,recover,4
3008,snorting,2
3009,typically,3
3010,treatment,5
3011,nowadays,3
3012,log,0
3013,jacked,6
3014,nerd,5
3015,peak,5
3016,mph,2
3017,blackout,5
3018,excess,1
3019,yummy,0
3020,contains,5
3021,sneak,4
3022,unhealthy,3
3023,relate,4
3024,banana,5
3025,milligram,2
3026,grew,1
3027,lit,2
3028,alka,2
3029,hyped,2
3030,likes,0
3031,accidently,1
3032,nvr,3
3033,rolls,1
3034,stumbling,0
3035,booty,2
3036,sleepproblems,1
3037,route,1
3038,timed,3
3039,playlist,3
3040,contain,6
3041,minds,0
3042,generic,6
3043,buzz,4
3044,library,2
3045,artificial,5
3046,choked,5
3047,cruel,0
3048,stories,6
3049,haze,2
3050,fantastic,0
3051,create,2
3052,crew,0
3053,bone,6
3054,vote,1
3055,boyfriends,4
3056,idol,5
3057,mcg,4
3058,butter,6
3059,aside,3
3060,shoulder,5
3061,yelling,1
3062,meow,4
3063,bedside,0
3064,addy,0
3065,verge,2
3066,sharing,1
3067,germs,5
3068,arrive,3
3069,pink,5
3070,main,3
3071,smiles,6
3072,eyed,6
3073,camper,5
3074,passout,6
3075,label,5
3076,chews,1
3077,snorted,6
3078,tour,1
3079,valerians,1
3080,moi,1
3081,shrugs,2
3082,fellow,1
3083,fill,2
3084,emily,2
3085,soda,1
3086,speech,1
3087,upping,4
3088,benefits,5
3089,muscles,4
3090,fans,5
3091,pisses,6
3092,dropping,4
3093,gas,1
3094,tolerate,6
3095,aches,0
3096,rules,0
3097,chemistry,3
3098,hallucinations,6
3099,candle,5
3100,hoped,5
3101,uncomfortable,0
3102,named,3
3103,decrease,5
3104,vividly,0
3105,resorting,5
3106,toddler,0
3107,warned,3
3108,matt,6
3109,electronics,2
3110,everynight,4
3111,lover,2
3112,glorious,3
3113,hoe,6
3114,general,6
3115,multi,5
3116,flew,1
3117,seizure,4
3118,ttyl,0
3119,whatsoever,1
3120,rise,0
3121,settled,5
3122,asses,4
3123,jumping,3
3124,midnite,1
3125,confuse,0
3126,gon,5
3127,licorice,5
3128,murder,6
3129,lbs,3
3130,rat,1
3131,radio,5
3132,finger,3
3133,bees,0
3134,sched,1
3135,ditto,4
3136,hung,5
3137,stressful,1
3138,entertain,5
3139,exams,6
3140,inducing,2
3141,andd,5
3142,conversations,0
3143,nodding,3
3144,theory,4
3145,require,5
3146,multiple,1
3147,urgh,3
3148,convos,1
3149,lifes,0
3150,direction,0
3151,convo,6
3152,violent,1
3153,rose,0
3154,schedules,6
3155,oddly,6
3156,joking,5
3157,rubbed,0
3158,separate,1
3159,songs,2
3160,firstworldproblems,4
3161,return,6
3162,sucking,5
3163,wondered,5
3164,teach,3
3165,adderal,5
3166,dissolved,2
3167,hip,0
3168,bark,4
3169,sedate,3
3170,baseball,5
3171,dmt,3
3172,wierd,0
3173,ignore,6
3174,tends,6
3175,xoxo,0
3176,warning,4
3177,advilpm,4
3178,pushing,1
3179,suggests,3
3180,slightest,4
3181,hahahahaha,1
3182,women,2
3183,tag,6
3184,cupboard,2
3185,champ,5
3186,hence,6
3187,chances,5
3188,agreed,3
3189,closer,0
3190,student,4
3191,heavily,4
3192,growth,5
3193,leaf,5
3194,ripped,1
3195,universe,3
3196,junk,1
3197,disturb,6
3198,probiotic,2
3199,specialist,0
3200,replace,5
3201,rls,2
3202,shrug,5
3203,wins,5
3204,atm,6
3205,nightstand,5
3206,master,0
3207,tech,0
3208,hazy,6
3209,rice,0
3210,greens,1
3211,nicely,3
3212,respond,6
3213,logic,5
3214,spit,0
3215,calcium,2
3216,split,0
3217,greys,2
3218,alice,1
3219,steps,4
3220,ole,0
3221,avail,2
3222,timezone,6
3223,vet,0
3224,accomplish,0
3225,subway,0
3226,effing,1
3227,ineffective,1
3228,bloody,5
3229,loving,0
3230,dosing,5
3231,swollen,6
3232,regulates,4
3233,thumb,5
3234,lowkey,0
3235,damned,0
3236,sam,4
3237,babysit,6
3238,suppressed,6
3239,cramps,1
3240,west,2
3241,viagra,3
3242,cigarettes,5
3243,yayy,5
3244,mass,4
3245,adam,5
3246,totes,3
3247,harry,5
3248,sync,3
3249,smartest,4
3250,substances,6
3251,mehh,4
3252,gallon,5
3253,dress,4
3254,attitude,3
3255,sauce,6
3256,retainer,5
3257,spaghetti,0
3258,impact,2
3259,sayin,1
3260,sleepingproblems,4
3261,sunny,3
3262,sec,1
3263,popcorn,4
3264,kelly,5
3265,curious,4
3266,spending,0
3267,lovelies,0
3268,texted,3
3269,scratch,3
3270,torture,6
3271,tru,2
3272,sweats,1
3273,bestfriends,0
3274,bird,5
3275,led,6
3276,insulin,5
3277,opinion,4
3278,midday,3
3279,snake,5
3280,david,4
3281,pudding,0
3282,blown,5
3283,soothing,2
3284,painful,4
3285,rpond,4
3286,gently,5
3287,bourbon,2
3288,bothering,3
3289,clocks,0
3290,wet,0
3291,checking,3
3292,woohoo,6
3293,lifestyle,5
3294,smooth,4
3295,convince,0
3296,details,3
3297,drinkin,4
3298,tickle,0
3299,shitload,1
3300,casually,5
3301,callin,0
3302,melted,2
3303,benmarks,3
3304,bra,2
3305,award,0
3306,recovery,4
3307,suing,1
3308,wknd,0
3309,toddy,5
3310,acupuncture,1
3311,standard,4
3312,sub,2
3313,deepest,5
3314,stinks,2
3315,cod,3
3316,conk,2
3317,thyroid,0
3318,sends,5
3319,prayer,5
3320,physical,5
3321,zonk,0
3322,brown,6
3323,blast,3
3324,gun,2
3325,discover,0
3326,fortunately,4
3327,indeed,3
3328,discuss,5
3329,smfh,4
3330,silent,5
3331,remotely,3
3332,angel,2
3333,michelle,4
3334,aunts,5
3335,snapchat,1
3336,sadness,5
3337,tomorrows,0
3338,loll,2
3339,inspired,1
3340,nonhabit,5
3341,history,6
3342,rude,3
3343,egg,3
3344,ffs,1
3345,bcuz,1
3346,held,6
3347,vomit,4
3348,timeline,5
3349,sarah,2
3350,station,2
3351,boredom,5
3352,stp,2
3353,kay,6
3354,workouts,0
3355,horrid,6
3356,guide,4
3357,nightt,3
3358,plugs,2
3359,popular,2
3360,fibromyalgia,3
3361,russian,0
3362,similar,1
3363,drag,0
3364,delivery,1
3365,tweeted,3
3366,kitty,2
3367,boots,0
3368,insomniasucks,5
3369,poetry,0
3370,imbalance,5
3371,sword,6
3372,auto,5
3373,florida,1
3374,sheesh,6
3375,swapped,1
3376,wrapped,1
3377,lux,2
3378,luc,1
3379,shoulders,5
3380,novel,0
3381,loss,0
3382,tissues,5
3383,beats,5
3384,talkin,2
3385,chemist,4
3386,aides,4
3387,captain,3
3388,quill,1
3389,pancakes,3
3390,loong,6
3391,valarian,1
3392,twisted,3
3393,hadnt,4
3394,laureline,1
3395,sees,5
3396,doh,4
3397,lyrics,0
3398,coast,6
3399,bah,1
3400,coconut,3
3401,basis,5
3402,chilling,6
3403,euthanasia,4
3404,unicorn,1
3405,smdh,5
3406,changes,5
3407,kalms,1
3408,nevermind,3
3409,lies,4
3410,covers,4
3411,suffered,3
3412,french,2
3413,congestion,5
3414,battling,2
3415,bow,0
3416,olive,5
3417,agent,5
3418,pumping,3
3419,caffiene,1
3420,winding,5
3421,therapist,4
3422,canibus,1
3423,seat,2
3424,dramatic,1
3425,decently,3
3426,cayenne,2
